Game,Players,Picture,Icon,Factions,Points,Condition
Game 1,Pavel,,,Federation of Sol,6,None
28/11/2025,Alex,,,Crimson Rebellion,10,Winner
TE,Igor,,,Firmament / Obsidian,7,None
Passed,Matan,,,Vuil’Raith Cabal,3,Eliminated
,Shay,,,Clan of Saar,9,None
,Noam,,,Universities of Jol-Nar,7,None
,,,,,,
Game 2,Bar,,,Nekro Virus,8,Quit
19/12/2025,Noam,,,Mahact Gene-Sorcerers,7,Quit
TE,Igor,,,Deepwrought Scholarate,8,Quit
Passed,Dima1,,,Naaz-Rokha Alliance,7,Quit
,Alex,,,Last Bastion,8,Quit
,Shay,,,Emirates of Hacan,9,Eliminated
,,,,,,
Game 3,Pavel,,,Sardakk N’orr,,
26/12/2025,Igor,,,Ral Nel Consortium,,
TE,Dima1,,,Empyrean,,
5 days left,Alex,,,L1Z1X Mindnet,,
,Bar,,,Mentak Coalition,,
,Noam,,,Winnu,,
,,,,,,
